Product Name,Price,Ratings
"Beantech W11046ADB Laptop (Windows 10 Home, Intel Cherry Trail z8300, 11.6"" LCD Screen, Storage: 64 GB, RAM: 4 GB) Black",$219.99,2.2 out of 5 stars
"Acer Chromebook R 11 Convertible Laptop, Celeron N3060, 11.6"" HD Touch, 4GB DDR3L, 32GB eMMC, C738T-C7KD",$207.20,3.9 out of 5 stars
"Lenovo Thinkpad Yoga 11e Laptop 11.6"" Touchscreen PC Intel Quad Core Processor 128GB Solid State Drive 4GB DDR3 RAM, HD Webcam, LED, HDMI, Bluetooth, Windows 10 (Renewed) (Windows 10 Home)",$184.95,3.9 out of 5 stars
"Acer Predator Helios 300 Gaming Laptop PC, 15.6"" FHD IPS w/ 144Hz Refresh, Intel i7-8750H, GTX 1060 6GB, 16GB DDR4, 256GB NVMe SSD, Aeroblade Metal Fans PH315-51-78NP",$938.43,3.9 out of 5 stars
"HP Pavilion 2019 15.6 HD LED Laptop Notebook Computer PC, 2-Core AMD A6 2.6GHz, 8GB DDR4 RAM, 128GB SSD, DVD, HDMI, RJ-45, USB 3.0, Bluetooth, Webcam, Wi-Fi, Windows 10 Home in S Mode",$348.00,3.3 out of 5 stars
"2019 Newest Lenovo Ideapad S145 15.6"" HD LED-backlit Widescreen Laptop, Intel Pentium Gold 5405U 2.30GHz Processor, 16GB RAM, 512GB Solid State Drive, Wireless-AC, Bluetooth, Windows 10, Granite Black",$378.99,4.5 out of 5 stars
"2019 HP Pavilion 17 Premium Laptop Computer PC, 17.3"" HD+ WLED Display, 8th Gen Intel Core i3-8130U, 8GB DDR4 16GB Intel Optane Memory 2TB HDD 802.11ac BT DVDRW HDMI Webcam USB 3.1 Win 10-Silver",$569.00,-1
"2019 Lenovo IdeaPad S130 14"" Laptop Computer - Intel Celeron N4000 up to 2.6GHz - 4GB DDR4 RAM, 64GB eMMC - Intel UHD Graphics 600 - 802.11ac WiFi, Bluetooth, USB Type-C, HDMI, Blue - Windows 10",$219.00,-1
"2019 Newest Lenovo Ideapad 130 15.6"" HD LED-Backlit Widescreen Laptop, AMD A9-9425 Dual-Core Processor up to 3.70GHz, 8GB RAM, 256GB Solid State Drive, HDMI, Wireless-AC, Bluetooth, Windows 10, Black",$339.00,5.0 out of 5 stars
"Lenovo Ideapad 15.6"" HD High Performance Laptop, AMD A12-9720P Quad core processor 2.7GHz, 8GB DDR4, 1TB HDD, DVD, Webcam, WiFi,Bluetooth, Windows 10, Platinum gray",$396.50,3.3 out of 5 stars
"LG Gram 17Z990-R.AAS9U1 Thin and Light Laptop, 17"" (2560 X 1600) IPS Display, Intel 8th Gen Core i7, 16GB RAM, 1TB (512GB x 2) Nvme SSD, Up to 19.5 Hour Battery, Thunderbolt 3, Dark Silver","$1,799.99",4.4 out of 5 stars
"LG gram Laptop - 15.6"" Full HD Display, Intel 8th Gen Core I5, 8GB RAM, 256GB SSD, 21.5 HRs Battery - 15Z990-U.AAS5U1 (2019), Dark Silver",$946.99,4.3 out of 5 stars
"LG Gram 14T990-U.AAS8U1, 14” 2-in-1 Ultra-Lightweight Laptop with Intel Core i7 Processor and Wacom Pen, Silver","$1,199.99",4.2 out of 5 stars
"ASUS Chromebook C425 Clamshell Laptop, 14"" FHD 4-Way NanoEdge, Intel Core M3-8100Y Processor, 8GB RAM, 64GB eMMC Storage, Backlit KB, Silver, Chrome OS, C425TA-DH384",$379.99,3.8 out of 5 stars
"Lenovo 15.6"" High Performance Laptop, Intel Celeron 42050U Dual-Core Processor, 4GB DDR4 RAM, 128GB SSD, Webcam, Wireless+Bluetooth, HDMI, Window 10 (Intel Processor)",$229.96,4.2 out of 5 stars
"Newest 2019 Flagship Lenovo IdeaPad 330S 15.6"" Laptop Intel Core i3 4GB Memory 128GB Solid State Drive Midnight Blue",$269.99,5.0 out of 5 stars
"Dell Inspiron 15 5000 15.6-inch Touchscreen FHD 1080p Premium Laptop, Intel Quad Core i5-8250U Processor, 12GB RAM, 1TB Hard Drive, DVD Writer, Backlit Keyboard, Bluetooth, Silver",$628.00,3.8 out of 5 stars
